category,activity,task_name,task_class,description,steps,default_instruction,base_class,source_file
making_salads,Making Salads,WashLettuce,WashLettuce,Simulates the task of washing salads.,Turn on the sink. Wash the lettuce under the sink for 25 timesteps,Wash the lettuce in the sink by running water over it.,Kitchen,composite/making_salads/wash_lettuce.py
making_smoothies,the making smoothies,AddIceCubes,AddIceCubes,Simulates the task of adding ice cubes to the blender.,1. Pick up the ice cubes from the bowl on the counter. 2. Put the ice cubes in the blender.,Put the {word_representation} ice cubes in the blender.,Kitchen,composite/making_smoothies/add_ice_cubes.py
making_smoothies,the making smoothies,AddSweetener,AddSweetener,Simulates the task of adding sweetener to the blender.,1. Pick up the sugar cubes from the plate on the counter. 2. Put the sugar cubes in the blender.,Put the {word_representation} sugar cubes in the blender.,Kitchen,composite/making_smoothies/add_sweetener.py
making_smoothies,the making smoothies,BlendIngredients,BlendIngredients,Simulates the task of blending ingredients in the blender.,1. Open the blender lid. 2. Pick up the fruit from the counter. 3. Put the fruit in the blender. 4. Close the blender lid. 5. Start the blender.,"Open the blender lid, put the {fruit_lang} in the blender, close the lid, and start the blender.",Kitchen,composite/making_smoothies/blend_ingredients.py
making_smoothies,the making smoothies,PlaceStraw,PlaceStraw,Simulates the task of placing a straw in a cup.,1. Open the drawer (left or right). 2. Pick up the straw from the drawer. 3. Put the straw in the cup on the counter.,Pick up the straw from the {self.drawer_side} drawer and put it inside the smoothie cup.,ManipulateDrawer,composite/making_smoothies/place_straw.py
making_smoothies,the making smoothies,PrepareSmoothie,PrepareSmoothie,Simulates the task of preparing ingredients for making a smoothie.,1. Pick the food item for making a fruit smoothie from the fridge. 2. Place it on the plate next to the blender.,Pick the {food_lang} from the fridge and place them on the plate next to the blender to make a fruit smoothie.,Kitchen,composite/making_smoothies/prepare_smoothie.py
making_tea,Making Tea,Arrange Tea Accompaniments,ArrangeTeaAccompaniments,Simulates the task of arranging tea accompaniments on a tray.,1. Open the fridge. 2. Take out milk and other accompaniments. 3. Place them on a tray on the counter.,Take out the milk from the fridge and place it on the tray on the counter. Then take the sugar cube near the tray and place it in the tray.,Kitchen,composite/making_tea/arrange_tea_accompaniments.py
making_tea,Making Tea,Serve Tea,ServeTea,Simulates the task of serving tea in a teacup on a dining table.,1. Pick the teacup from the microwave. 2. Navigate to the dining table. 3. Place the teacup on the saucer on the dining table.,"Pick the cup of tea, navigate to the dining table, and place it on the saucer.",Kitchen,composite/making_tea/serve_tea.py
making_tea,Making Tea,Strainer Setup,StrainerSetup,Simulates the task of setting up a tea strainer.,1. Open the cabinet. 2. Place the strainer in a bowl upright.,Open the cabinet and setup a tea strainer by placing it in the bowl upright.,Kitchen,composite/making_tea/strainer_setup.py
making_toast,Making Toast,Bread Selection,BreadSelection,Simulates the task of setting up ingredients for making a bread snack.,Place a croissant and a jar of jam on the cutting board.,,Kitchen,composite/making_toast/bread_selection.py
making_toast,Making Toast,Prepare Toast,PrepareToast,Simulates the task of preparing toast.,"Open the cabinet, pick the bread, place it on the cutting board, pick the jam, place it on the counter, and close the cabinet",,Kitchen,composite/making_toast/prepare_toast.py
making_toast,Making Toast,Sweet Savory Toast Setup,SweetSavoryToastSetup,Simulates the task of setting up the ingredients for making sweet and savory toast.,"Pick the avocado and bread from the counter and place it on the plate. Then pick the jam from the cabinet and place it next to the plate. Lastly, close the cabinet door.",,Kitchen,composite/making_toast/sweet_savory_toast_setup.py
managing_freezer_space,Managing Freezer Space,Clear Freezer,ClearFreezer,Simulates the task of clearing the freezer by taking out all items and placing them in a bowl.,1. Take all 3 items from the freezer 2. Place them in the bowl on the counter,,Kitchen,composite/managing_freezer_space/clear_freezer.py
managing_freezer_space,Managing Freezer Space,Freeze Bottled Waters,FreezeBottledWaters,Simulates the task of freezing bottled waters by taking them from the counter and placing them in the freezer.,1. Take 2 bottled waters from the counter 2. Place them in the freezer to freeze 3. Close the freezer door,,Kitchen,composite/managing_freezer_space/freeze_bottled_waters.py
managing_freezer_space,Managing Freezer Space,Freeze Ice Tray,FreezeIceTray,Simulates the task of placing an ice tray in the freezer to make ice.,1. Take the ice tray from next to the sink 2. Place it in the freezer 3. Close the freezer door,,Kitchen,composite/managing_freezer_space/freeze_ice_tray.py
managing_freezer_space,Managing Freezer Space,Maximize Freezer Space,MaximizeFreezerSpace,"Simulates the task of reorganizing freezer items by moving items between the top two racks to maximize space efficiency. The task randomly chooses to either move items from the second highest rack to the highest rack, or from the highest rack to the second highest rack.",1. Take items from one rack 2. Place them on the other rack,,Kitchen,composite/managing_freezer_space/maximize_freezer_space.py
managing_freezer_space,Managing Freezer Space,Move Fridge To Freezer,MoveFridgeToFreezer,Simulates the task of moving refrigerated items from the fridge to the freezer for freezing or long-term storage.,1. Pick up the refrigerated item from the fridge 2. Place the item in the freezer 3. Close the fridge and freezer doors,,Kitchen,composite/managing_freezer_space/move_fridge_to_freezer.py
managing_freezer_space,Managing Freezer Space,Move To Freezer Drawer,MoveToFreezerDrawer,Simulates the task of moving fresh fruits or vegetables from the fridge shelf to the freezer drawer for freezing and long-term storage.,1. Take the first fruit/vegetable from the fridge shelf 2. Place it in the freezer drawer 3. Take the second fruit/vegetable from the fridge shelf 4. Place it in the freezer drawer,,Kitchen,composite/managing_freezer_space/move_to_freezer_drawer.py
managing_freezer_space,Managing Freezer Space,Reorganize Frozen Vegetables,ReorganizeFrozenVegetables,"Simulates the task of reorganizing frozen vegetables in the freezer by taking them out of their current locations and placing them in a tupperware container, and then putting the tupperware back in the freezer.",1. Take the frozen vegetables from the freezer 2. Place them in a tupperware container 3. Put the tupperware containing the vegetables back in the freezer,,Kitchen,composite/managing_freezer_space/reorganize_frozen_vegetables.py
managing_freezer_space,Managing Freezer Space,Separate Freezer Rack,SeparateFreezerRack,Simulates the task of organizing freezer items by placing meat on the second highest rack and vegetables on the highest rack of the freezer.,1. Take the meat in its tupperware container 2. Place the meat on the second highest rack of the freezer 3. Take the vegetables in the other tupperware container 4. Place the vegetables on the highest rack of the freezer,,Kitchen,composite/managing_freezer_space/separate_freezer_rack.py
measuring_ingredients,Measuring Ingredients,Choose Measuring Cup,ChooseMeasuringCup,,,Open the {self.drawer_side} drawer and place the {size_lang} measuring cup on the counter.,ManipulateDrawer,composite/measuring_ingredients/choose_measuring_cup.py
measuring_ingredients,Measuring Ingredients,Organize Measuring Cups,OrganizeMeasuringCups,Simulates the organization of measuring cups by their size.,"Organize the measuring cups left to right, smallest to largest and make sure they are rotated straight",,Kitchen,composite/measuring_ingredients/organize_measuring_cups.py
measuring_ingredients,Measuring Ingredients,Weigh Ingredients,WeighIngredients,,,"Pick the {obj_lang} and place it on the digital scale for weighing, and close the cabinet.",Kitchen,composite/measuring_ingredients/weigh_ingredients.py
meat_preparation,Meat Preparation,Prep For Tenderizing,PrepForTenderizing,Simulates the task of preparing meat for tenderizing.,Retrieve a rolling pin from the cabinet and place it next to the meat on the cutting board to prepare for tenderizing.,,Kitchen,composite/meat_preparation/prep_for_tenderizing.py
meat_preparation,Meat Preparation,Prep Marinating Meat,PrepMarinatingMeat,Simulates the task of preparing meat for marinating.,"Take the meat from its container and place it on the cutting board. Then, take the condiment from the cabinet and place it next to the cutting board.",,Kitchen,composite/meat_preparation/prep_marinating_meat.py
microwaving_food,Microwaving Food,Filter Microwavable Item,FilterMicrowavableItem,Simulates the task of filtering microwavable items from a bowl containing both microwavable (meat) and non-microwavable (fruit) items.,1. Take the bowl containing meat and fruit from the counter 2. Remove the fruit item from the bowl and place it on the plate 3. Place the bowl with only meat in the microwave 4. Close the microwave door 5. Press the start button to begin microwaving,,Kitchen,composite/microwaving_food/filter_microwavable_item.py
microwaving_food,Microwaving Food,Microwave Correct Meal,MicrowaveCorrectMeal,Simulates the task of microwaving the correct meal from two bowls containing different food items. One bowl is randomly selected to be microwaved.,1. Identify which bowl should be microwaved (randomly selected) 2. Place the selected bowl in the microwave 3. Close the microwave door 4. Press the start button to begin microwaving,,Kitchen,composite/microwaving_food/microwave_correct_meal.py
microwaving_food,Microwaving Food,Microwave Defrost Meat,MicrowaveDefrostMeat,Simulates the task of defrosting meat in the microwave.,1. Place the tupperware containing meat in the microwave 2. Close the microwave door 3. Press the start button to begin microwaving,,Kitchen,composite/microwaving_food/microwave_defrost_meat.py
microwaving_food,Microwaving Food,Place Microwave Safe Item,PlaceMicrowaveSafeItem,Simulates the task of identifying a microwave-safe and non-microwave-safe drink item. The robot must identify which drinkware item is safe for microwaving and place it in the microwave.,1. Identify microwave-safe drink item 2. Identify non-microwave-safe drink item 3. Place microwave-safe item in the microwave 4. Close the microwave door,,Kitchen,composite/microwaving_food/place_microwave_safe_item.py
microwaving_food,Microwaving Food,Reheat Meal,ReheatMeal,Simulates the task of reheating a meal in a tupperware container containing meat and vegetables.,1. Place the tupperware containing meat and vegetables in the microwave 2. Close the microwave door 3. Press the start button to begin microwaving,,Kitchen,composite/microwaving_food/reheat_meal.py
microwaving_food,Microwaving Food,Return Heated Food,ReturnHeatedFood,Simulates the task of placing a bowl containing heated meat and vegetable on the dining counter for serving.,1. Open the microwave door 2. Take the bowl containing meat and vegetable from the microwave 3. Place it on the dining counter,,Kitchen,composite/microwaving_food/return_heated_food.py
mixing_and_blending,Mixing And Blending,Colorful Salsa,ColorfulSalsa,Simulates the task of preparing a colorful salsa.,"Place the avocado, onion, tomato and bell pepper on the cutting board.","Place the avocado, onion, tomato, and bell pepper on the cutting board.",Kitchen,composite/mixing_and_blending/colorful_salsa.py
mixing_and_blending,Mixing and Blending,Make Banana Milkshake,MakeBananaMilkshake,Simulates the task of preparing ingredients for a banana milkshake by placing a banana in the blender jug and positioning milk and honey next to the blender.,1. Place honey next to the blender. 2. Place a banana in the blender jug 3. Place milk next to the blender,,Kitchen,composite/mixing_and_blending/make_banana_milkshake.py
mixing_and_blending,Mixing And Blending,Spicy Marinade,SpicyMarinade,Simulates the task of preparing a spicy marinade.,Open the cabinet. Place the bowl and condiment on the counter. Then place the lime and garlic on the cutting board.,,Kitchen,composite/mixing_and_blending/spicy_marinade.py
mixing_ingredients,Mixing Ingredients,Blend Salsa Mix,BlendSalsaMix,Simulates the task of making salsa by blending vegetables in a blender.,"1. Open the blender lid 2. Place tomato, chili pepper, and onion in the blender 3. Close the blender lid 4. Turn on the blender to create salsa",,Kitchen,composite/mixing_ingredients/blend_salsa_mix.py
mixing_ingredients,Mixing Ingredients,Blend Vegetable Sauce,BlendVegetableSauce,Simulates the task of blending boiled vegetables to make a vegetable sauce.,1) Turn off the stove burner for the saucepan 2) Place boiled vegetable in the blender 3) Close the blender lid 4) Turn on the blender,The {veg_lang} is done being boiled. Turn off the stove burner for the saucepan. Place the {veg_lang} in the blender and turn on the blender to make a vegetable sauce.,Kitchen,composite/mixing_ingredients/blend_vegetable_sauce.py
mixing_ingredients,Mixing Ingredients,Mix Cheese,CheeseMixing,Simulates the task of melting cheese in a pot on the stove and stirring it with a spatula.,1) Put the cheese in the pot filled with milk on the stove 2) Stir the cheese in the pot using the spatula,Put the cheese in the pot filled with milk and stir.,Kitchen,composite/mixing_ingredients/cheese_mixing.py
mixing_ingredients,Mixing Ingredients,Make Cheesecake Filling,MakeCheesecakeFilling,"Simulates the task of making cheesecake filling using butter, sugar, and cream cheese in a stand mixer.","1. Add butter stick, sugar cube, and cream cheese stick to the stand mixer bowl 2. Turn on the stand mixer to begin making cheesecake filling","Add the butter stick, sugar cube, and cream cheese stick to the stand mixer bowl and then turn the speed knob to begin making cheesecake filling.",Kitchen,composite/mixing_ingredients/make_cheesecake_filling.py
mixing_ingredients,Mixing Ingredients,Make Chocolate Milk,MakeChocolateMilk,Simulates the task of placing one chocolate piece and one sugar cube in a warm glass of milk to create chocolate flavored milk.,1. Pick up one chocolate piece and one sugar cube from the plate 2. Place the chocolate piece and sugar cube in the glass of milk,Place one chocolate piece and one sugar cube in the warm glass of milk to make chocolate flavored milk.,Kitchen,composite/mixing_ingredients/make_chocolate_milk.py
mixing_ingredients,Mixing Ingredients,Prepare Veggie Dip,PrepareVeggieDip,Simulates the task of preparing a veggie dip by blending vegetables and cream cheese in a blender.,1) Pick the vegetable and the cream cheese from the fridge 2) Place them in the blender 3) Close the blender lid 4) Turn on the blender,"Pick the {veg_lang} and the cream cheese from the fridge, place them in the blender, and turn it on.",Kitchen,composite/mixing_ingredients/prepare_veggie_dip.py
organizing_dishes_and_containers,Organizing Dishes and Containers,Empty Dish Drying Rack,EmptyDishRack,Simulates the task of removing a drinking container from the dish rack and placing it in the cabinet.,Pick up the mug from the dish rack and place it in the cabinet. Close the cabinet door(s).,Pick up the mug from the dish rack and place it inside the open cabinet where all mugs go. Then close the cabinet door(s).,Kitchen,composite/organizing_dishes_and_containers/empty_dish_rack.py
organizing_dishes_and_containers,Organizing Dishes and Containers,Organize Mugs by Handle Direction,OrganizeMugsByHandle,Simulates the task of organizing mugs in the cabinet such that all handles face the right.,Pick and place the mug from the counter to the cabinet with the handle facing to the right.,"Pick the mug on the counter and place it in the cabinet with the handle facing the right, like the mugs already inside.",Kitchen,composite/organizing_dishes_and_containers/organize_mugs_by_handle.py
organizing_dishes_and_containers,Organizing Dishes and Containers,Stack Bowls Cabinet,StackBowlsCabinet,"Simulates the task of picking up bowls from the dining counter, stacking them, and placing them in the cabinet.",Pick up the first bowl from the dining counter. Pick up the second bowl and place it on top of the first bowl. Move the stacked bowls to the cabinet.,,Kitchen,composite/organizing_dishes_and_containers/stack_bowls_cabinet.py
organizing_recycling,Organizing Recycling,Recycle Bottles By Size,RecycleBottlesBySize,Simulates the task of sorting empty bottles by size for recycling.,"Gather all empty bottled water and beer bottles from the dining counter. Place large bottles in a cluster next the sink, but not inside it. Place small bottles inside the sink.",,Kitchen,composite/organizing_recycling/recycle_bottles_by_size.py
organizing_recycling,Organizing Recycling,Recycle Bottles By Type,RecycleBottlesByType,Simulates the task of sorting bottles by type for recycling.,Idenitfy the type of each bottle (plastic or glass) in the middle. Place plastic bottles in a cluster of plastic bottles on one side. Place glass bottles in a cluster of glass bottles on the other side.,,Kitchen,composite/organizing_recycling/recycle_bottles_by_type.py
organizing_recycling,Organizing Recycling,Soda Can Recycling Setup,RecycleSodaCans,"Simulates the task of gathering scattered empty soda cans around the kitchen and placing them in a neatly clustered group, ready for recycling.",Pick up all empty soda cans. Place them in a tight cluster on the counter near the stove.,,Kitchen,composite/organizing_recycling/recycle_soda_cans.py
organizing_recycling,Organizing Recycling,Recycle Stacked Yogurt,RecycleStackedYogurt,Simulates the task of stacking yogurt containers to prepare for recycling.,Pick up the second largest yogurt container from the counter and stack it on the largest container. Pick up the smaller container and place it on top of the second largest container.,Stack the yogurt containers by placing the smaller containers on top of the larger containers.,Kitchen,composite/organizing_recycling/recycle_stacked_yogurt.py
organizing_utensils,Organizing Utensils,Arrange Utensils By Type,ArrangeUtensilsByType,Simulates the task of organizing utensils by their material type. The wooden spoons needs to go in the cabinet and the metallic utensils go in the drawer.,Pick up the wooden spoons from the counter and place it in the cabinet. Pick up the metallic utensils from the counter and place them in the drawer. Ensure both the cabinet and drawer are open for easy access.,,Kitchen,composite/organizing_utensils/arrange_utensils_by_type.py
organizing_utensils,Organizing Utensils,Cluster Utensils In Drawer,ClusterUtensilsInDrawer,"Simulates the task of organizing utensils by clustering them by type in a drawer. There are drawer utensils in the drawer (fork on one side, spoon on the other) and additional utensils on the counter that need to be placed with their matching types.",1. Pick up the fork from the counter and place it on the fork side of the drawer. 2. Pick up the spoon from the counter and place it on the spoon side of the drawer. 3. Ensure utensils are clustered by type on opposite sides of the drawer.,,Kitchen,composite/organizing_utensils/cluster_utensils_in_drawer.py
organizing_utensils,Organizing Utensils,Organize Metallic Utensils,OrganizeMetallicUtensils,Simulates the task of organizing utensils by their material type. The task is to take the metallic utensils and put them in the drawer.,Identify the metallic utensils from the mix on the dining counter. Pick up the metallic utensils from the counter and place them in the drawer. Ensure that no other types of utensils are moved.,,Kitchen,composite/organizing_utensils/organize_metalic_utensils.py
packing_lunches,Packing Lunches,Pack Food By Temperature,PackFoodByTemp,Simulates the task of packing hot and cold foods into separate tupperwares on the dining counter.,"1. Pick 2 hot items from the stove. 2. Pick 2 cold items (fruit or vegetable) from the fridge. 3. Place both hot items in one tupperware and both cold items in another tupperware, both on the dining counter.",,Kitchen,composite/packing_lunches/pack_food_by_temp.py
packing_lunches,Packing Lunches,Pack Fruit Container,PackFruitContainer,Simulates the task of packing two fruits from the fridge into a tupperware on the counter.,1. Pick two fruits from the fridge. 2. Place them inside a tupperware on the counter.,Pick up both {fruit0_lang}s from the fridge and place them inside the {container_lang} on the counter.,Kitchen,composite/packing_lunches/pack_fruit_container.py
packing_lunches,Packing Lunches,Pack Identical Lunch,PackIdenticalLunches,"Simulates the task of packing identical lunches with vegetables and meats. There are 2 identical vegetables and 2 identical meats, and 2 tupperwares. Each tupperware needs to contain 1 vegetable and 1 meat.",1. Pick vegetables and meats from the fridge. 2. Place 1 vegetable and 1 meat in each of the two tupperwares on the counter.,,Kitchen,composite/packing_lunches/pack_identical_lunches.py
packing_lunches,Packing Lunches,Pack Snack,PackSnack,Simulates the task of taking a snack (boxed_food) from a cabinet and placing it next to a packed lunch (tupperware) on the counter to take on the go.,1. Take a snack item from the cabinet. 2. Place it next to the tupperware containing the packed lunch on the counter. 3. Ensure the snack is close enough to the tupperware for easy access.,,Kitchen,composite/packing_lunches/pack_snack.py
plating_food,Plating Food,Balanced Meal Prep,BalancedMealPrep,Simulates the task of preparing a balanced meal.,1. Place the meat on the plate. 2. Place the vegetable on the same plate.,Place the {meat_name} on the plate and place the {vegetable_name} on the same plate.,Kitchen,composite/plating_food/balanced_meal_prep.py
plating_food,Plating Food,Plate Steak Meal,PlateSteakMeal,Simulates the process of plating a steak meal by moving specific food items from a tray to a plate while leaving other items on the tray.,1. Pick up the steak from the tray and place it on the plate. 2. Pick up the asparagus from the tray and place it on the plate. 3. Leave the third random food item on the tray.,,Kitchen,composite/plating_food/plate_steak_meal.py
plating_food,Plating Food,Plate Store Dinner,PlateStoreDinner,Simulates the task of plating and storing dinner.,1. Place the meat on the plate. 2. Place the other meat in the tupperware. 3. Store the tupperware in the fridge.,,Kitchen,composite/plating_food/plate_store_dinner.py
portioning_meals,Portioning Meals,Distribute Chicken,DistributeChicken,Simulates the task of distributing cooked chicken drumsticks from a pan to plates. The task involves taking 2 chicken drumsticks from a pan and placing exactly 1 drumstick on each of the 2 plates on the dining counter.,1. Take chicken drumsticks from the pan 2. Place exactly 1 drumstick on each plate,Take the chicken drumsticks from the pan and place one on each plate on the dining counter.,Kitchen,composite/portioning_meals/distribute_chicken.py
portioning_meals,Portioning Meals,Portion Fruit Bowl,PortionFruitBowl,Simulates the task of portioning fruits from a plate into two bowls. The task involves taking 4 fruits from a plate on the dining counter and distributing them evenly into 2 bowls (2 fruits per bowl).,1. Take fruits from the plate on the dining counter 2. Place exactly 2 fruits in each of the 2 bowls,Take the fruits from the plate on the dining counter and place two fruits in each bowl.,Kitchen,composite/portioning_meals/portion_fruit_bowl.py
portioning_meals,Portioning Meals,Portion Hot Dogs,PortionHotDogs,Simulates the task of portioning hot dog buns and sausages from a bowl into plates. The task involves taking 2 hot dog buns and 2 sausages from a bowl on the dining counter and placing exactly 1 bun and 1 sausage on each of the 2 plates.,1. Take hot dog buns and sausages from the bowl on the dining counter 2. Place exactly 1 bun and 1 sausage on each plate,Place one bun and one sausage from the bowl on each plate.,Kitchen,composite/portioning_meals/portion_hot_dogs.py
portioning_meals,Portioning Meals,Portion In Tupperware,PortionInTupperware,Simulates the task of portioning cooked food and vegetables from a plate into tupperware containers. The task involves taking 2 cooked food items and 2 vegetables from a plate on the dining counter and placing exactly 1 cooked food and 1 vegetable in each of the 2 tupperware containers.,1. Take cooked food and vegetables from the plate on the dining counter 2. Place exactly 1 cooked food and 1 vegetable in each tupperware container,Place one cooked food and one vegetable from the large plate to each tupperware container.,Kitchen,composite/portioning_meals/portion_in_tupperware.py
portioning_meals,Portioning Meals,Portion On Size,PortionOnSize,"Simulates the task of placing bowls next to plates based on the meal size. The task involves placing a small bowl next to a small plate with appetizer, and a large bowl next to a large plate with a full meal (meat and cooked food).",1. Take bowls from the cabinet 2. Place small bowl next to small plate with appetizer 3. Place large bowl next to large plate with meal,,Kitchen,composite/portioning_meals/portion_on_size.py
portioning_meals,Portioning Meals,Portion Yogurt,PortionYogurt,Simulates the task of portioning yogurt from the dining counter into plates. The task involves taking 4 yogurt containers from the dining counter and placing exactly 2 yogurt containers on each of the 2 plates.,1. Take yogurt containers from the dining counter 2. Place 2 yogurt containers on each plate,Place two yogurt containers on each plate.,Kitchen,composite/portioning_meals/portion_yogurt.py
portioning_meals,Portioning Meals,Scale Portioning,ScalePortioning,"Simulates the task of weighing meat on a digital scale and then placing it on a plate. The task involves taking meat from the fridge, placing it on a digital scale, waiting for 50 timesteps, then moving it to a plate on the dining counter.",1. Take meat from the fridge 2. Place meat on the digital scale 3. Wait 50 timesteps 4. Move meat from scale to plate on dining counter,,Kitchen,composite/portioning_meals/scale_portioning.py
preparing_hot_chocolate,Preparing Hot Chocolate,Add Marshmallow,AddMarshmallow,Simulates the task of adding marshmallow to a mug with hot chocolate.,"Pick the marshmallow, go to the dining counter with hot chocolate, and place it in the hot chocolate.",Pick up the marshmallow and place it in the cup of hot chocolate on the dining counter.,Kitchen,composite/preparing_hot_chocolate/add_marshmallow.py
preparing_hot_chocolate,Preparing Hot Chocolate,Sweeten Hot Chocolate,SweetenHotChocolate,Simulates the task of adding sugar to a saucepan with hot chocolate.,"Pick the sugar, and place it in the saucepan. Repeat for each sugar cube on the counter.",Pick up the sugar cube(s) and place them in the saucepan with hot chocolate.,Kitchen,composite/preparing_hot_chocolate/sweeten_hot_chocolate.py
preparing_marinade,Preparing Marinade,Blend Marinade,BlendMarinade,Simulates the task of creating a marinade by blending vegetables in a blender.,1. Retrieve two marinade vegetables from the fridge 2. Place them in the blender 3. Close the blender lid 4. Turn on the blender by pressing the power button,,Kitchen,composite/preparing_marinade/blend_marinade.py
preparing_marinade,Preparing Marinade,Gather Marinade Ingredients,GatherMarinadeIngredients,Simulates the task of collecting typical marinade ingredients into one area.,Retrieve garlic from the fridge and place them in the mixing bowl. Retrieve oil/vinegar bottle and shaker from the cabinet and place them next to the mixing bowl on the counter.,,Kitchen,composite/preparing_marinade/gather_marinade_ingredients.py
preparing_marinade,Preparing Marinade,Place Meat in Marinade,PlaceMeatInMarinade,Simulates the task of placing meat from the fridge onto a pan of marinade on the stove.,Retrieve a piece of meat from the fridge and place it on the pan with marinade on the stove.,Retrieve the {meat_lang} from the fridge and place it on the saucepan with marinade on the stove.,Kitchen,composite/preparing_marinade/place_meat_in_marinade.py
preparing_sandwiches,Preparing Sandwiches,Gather Vegetables to Cutting Board,GatherVegetables,Simulates the task of gathering 2 vegetables from the sink and placing them on the cutting board on the counter.,1) Pick up the 2 vegetables from the sink. 2) Place them on the cutting board.,,Kitchen,composite/preparing_sandwiches/gather_vegetables.py
preparing_sandwiches,Preparing Sandwiches,Heat Kebab Sandwich,HeatKebabSandwich,Simulates the task of heating up a kebab sandwich in the toaster oven.,"1) Pick up the kebab skewer and bread, and place them inside the toaster oven. 2) Once inside, close the toaster oven door. 3) Set the timer for at least 10% of the total time.",,Kitchen,composite/preparing_sandwiches/heat_kebab_sandwich.py
preparing_sandwiches,Preparing Sandwiches,Prepare a Hot Dog Setup,HotDogSetup,Simulates gathering the necessary ingredients for a hot dog and placing them on the dining table.,1) Pick up the hot dog bun from the counter and place it on the plate. 2) Pick up the sausage from the fridge and place it on the plate. 3) Pick up the condiment bottle and place it next to the plate.,,Kitchen,composite/preparing_sandwiches/hot_dog_setup.py
preparing_sandwiches,Preparing Sandwiches,Prepare Sandwich Station,PrepareSandwichStation,Simulates the task of gathering sandwich ingredients from the fridge and placing them on the counter near the toaster oven for easy access.,"1) Pick up the bowl containing tomato slice, pickle slice, and turkey slice from the fridge. 2) Pick up the baguette from the fridge. 3) Place both the bowl and baguette on the counter near the toaster oven.",,Kitchen,composite/preparing_sandwiches/prepare_sandwich_station.py
preparing_sandwiches,Preparing Sandwiches,Prepare Sausage and Cheese Sandwich,PrepareSausageCheese,"Simulates retrieving sausage and cheese from the fridge and placing them on the cutting board for slicing, while bread and a knife are already set next to the board.",1) Retrieve sausage and cheese from the fridge. 2) Place them on the cutting board. 3) Ensure bread and knife are next to the cutting board for slicing later.,Retrieve the sausage and cheese from the fridge and place them on the cutting board on the counter.,Kitchen,composite/preparing_sandwiches/prepare_sausage_cheese.py
preparing_sandwiches,Preparing Sandwiches,Toast Heatable Ingredients,ToastHeatableIngredients,Simulates the task of toasting heatable sandwich ingredients in the toaster oven.,1) Move the heatable items to the toaster oven rack. 2) Make sure the cold or unheable items are still on the plate.,,Kitchen,composite/preparing_sandwiches/toast_heatable_ingredients.py
reheating_food,Reheating Food,Heat Mug,HeatMug,Simulates the task of reheating a mug.,"Pick the mug, place it inside the microwave, and close the microwave.",Pick the mug from the counter and place it inside the microwave. Then close the microwave.,Kitchen,composite/reheating_food/heat_mug.py
reheating_food,Reheating Food,Make Loaded Potato,MakeLoadedPotato,Simulates the task of making a loaded potato.,"Retrieve the reheated potato from the microwave, then place it on the cutting board along with cheese and a bottle of condiment.",,Kitchen,composite/reheating_food/make_loaded_potato.py
reheating_food,Reheating Food,Reheat Meat On Stove,ReheatMeatOnStove,Simulates the task of reheating non-warm meat by placing it on a pan with low heat.,1. Take the meat from the plate 2. Place the meat on the pan on the stove,The cooked {meat_lang} has gone cold. Place it on the pan on the stove to reheat it.,Kitchen,composite/reheating_food/reheat_meat_on_stove.py
reheating_food,Reheating Food,Simmering Sauce,SimmeringSauce,Simulates the task of simmering a sauce.,"Place the pan on a specific burner on the stove, then place the tomato and the onion in the pan and turn on the burner.",,Kitchen,composite/reheating_food/simmering_sauce.py
reheating_food,Reheating Food,Waffle Reheat,WaffleReheat,Simulates the task of reheating a waffle.,"Open the microwave. Place the bowl with waffle inside the microwave, then close the microwave door and turn it on.",,Kitchen,composite/reheating_food/waffle_reheat.py
reheating_food,Reheating Food,Warm Croissant,WarmCroissant,Simulates the task of warming a croissant.,Place the croissant on the pan and turn on the stove to warm the croissant.,Pick the croissant and place it on the pan. Then turn on the stove to warm the croissant.,Kitchen,composite/reheating_food/warm_croissant.py
restocking_supplies,Restocking Supplies,Beverage Sorting,BeverageSorting,Simulates the task of sorting beverages.,"Sort all alcoholic drinks to one cabinet, and non-alcoholic drinks to the other.","Sort all alcoholic drinks to one cabinet, and non-alcoholic drinks to the other.",Kitchen,composite/restocking_supplies/beverage_sorting.py
restocking_supplies,Restocking Supplies,Fresh Produce Organization,FreshProduceOrganization,Simulates the task of organizing fresh produce in the fridge.,1. Place the fresh produce in the correct fridge rack based on whether it's a fruit or vegetable. 2. Close the fridge door.,"Place the {food_lang} in the correct fridge rack based on whether it is a fruit or vegetable. Finally, close the fridge door.",Kitchen,composite/restocking_supplies/fresh_produce_organization.py
restocking_supplies,Restocking Supplies,Refill Condiment Station,RefillCondimentStation,Simulates the task of refilling the condiment station on the dining table.,1. Open the cabinet 2. Take the condiment from the cabinet 3. Place the condiment on the dining table,The dining table condiment station is running low on {condiment_name}. Refill the condiment station by opening the cabinet and taking the {condiment_name} from the cabinet and placing it on the dining table.,Kitchen,composite/restocking_supplies/refill_condiment_station.py
restocking_supplies,Restocking Supplies,Restock Bowls,RestockBowls,Simulates the task of restocking bowls.,Restock two bowls from the counter to the cabinet.,,Kitchen,composite/restocking_supplies/restock_bowls.py
